n2	n2_descripcion
10	N/A
11	Erradicacion de la pobreza extrema.
12	Reduccion de la pobreza relativa en todas sus dimensiones.
13	Implantacion de sistemas de proteccion social.
14	Garantia de acceso a servicios basicos y recursos financieros.
15	Resiliencia a desastres ambientales  economicos y sociales.
16	Fomentar la resiliencia a los desastres ambientales  economicos y sociales.
17	Creacion de marcos normativos para erradicar la pobreza.
18	Poner fin al hambre.
19	Poner fin a todas las formas de malnutricion.
20	Duplicacion de productividad e ingresos agricolas a pequena escala.
21	Practicas agricolas sostenibles y resilientes.
22	Mantenimiento de la diversidad genetica de semillas.
23	Aumento de inversiones en agricultura.
24	Estabilidad mercados agropecuarios mundiales.
25	Control de la volatilidad de precios de los alimentos.
26	Reduccion de la tase de mortalidad materna.
27	Eliminar la mortalidad infantil.
28	Poner fin a las enfermedades transmisibles.
29	Reduccion de las enfermedades no transmisibles y salud mental.
30	Prevencion y tratamiento de abusos de drogas y alcohol.
31	Reduccion de accidentes de trafico.
32	Garantia de acceso a la salud Sexual y reproductiva  y a la planificacion familiar.
33	Lograr la cobertura universal y acceso medicamentos.
34	Reduccion de muertes por contaminacion quimica y polucion.
35	Control del tabaco.
36	Apoyo a la I+D de vacunas y medicamentos esenciales.
37	Aumento de la financiacion del sistema sanitario.
38	Refuerzo en la gestion de riesgos sanitarios.
39	Asegurar la calidad de la educacion primaria y secundaria.
40	Asegurar el acceso y calidad de la educacion Pre-escolar.
41	Asegurar el acceso igualitario a la formacion superior.
42	Aumento de las competencias para acceder al empleo.
43	Eliminacion Disparidad de genero y colectivos vulnerables.
44	Asegurar la alfabetizacion y conocimiento de aritmetica.
45	Fomentar la educacion Global para el Desarrollo Sostenible.
46	Mejora de instalaciones educativas inclusivas y seguras.
47	Aumento de becas para ensenanza superior.
48	Mejorar la cualificacion de docentes.
49	Poner fin a la discriminacion.
50	Eliminar todas las formas de violencia de genero.
51	Eliminar matrimonio infantil y mutilacion genital femenina.
52	Reconocer el trabajo de cuidados y domestico.
53	Asegurar la participacion plena de la mujer e igualdad oportunidades.
54	Asegurar el acceso salud sexual y reproductiva y derechos reproductivos.
55	Asegurar la igualdad de derechos a los recursos economicos.
56	Mejorar el uso de tecnologia y TIC.
57	Aprobar politicas y leyes para la igualdad y el empoderamiento.
58	Lograr el acceso a agua potable.
59	Lograr el acceso a servicios de saneamiento e higiene.
60	Mejorar la calidad de agua. Reducir la contaminacion y aguas residuales.
61	Aumentar el uso eficiente de recursos hidricos (extraccion de agua dulce).
62	Implementar la gestion integral de recursos hidricos.
63	Proteccion de los ecosistemas relacionados con agua.
64	Fomentar la creacion de capacidades de gestion.
65	Apoyar la participacion de las comunidades locales.
66	Garantizar acceso universal a energia.
67	Aumento de las energias renovables.
68	Duplicar la tasa de eficiencia energetica.
69	Aumento de la investigacion e inversion en energias limpias.
70	Ampliar la infraestructura y tecnologia en paises en desarrollo.
71	Mantenimiento del crecimiento economico.
72	Elevar la productividad a traves de la diversificacion  tecnologia e innovacion.
73	Fomento de pequena y mediana empresa.
74	Mejora de la produccion y consumo eficiente y respetuoso.
75	Lograr el pleno empleo y trabajo decente.
76	Reduccion de los jovenes sin trabajo ni estudios.
77	Erradicacion la esclavitud trata y trabajo infantil.
78	Proteccion de los derechos laborales y trabajo seguro.
79	Promocion el turismo sostenible.
80	Fortalecimiento la capacidad de las instituciones financieras.
81	Aumento ayuda para el comercio en paises en desarrollo.
82	Desarrollo de la estrategia mundial para empleo juvenil.
83	Desarrollo de Infraestructura sostenible.
84	Promocion de industria inclusiva y sostenible.
85	Aumento del acceso PYMES a servicios financieros y cadenas de valor.
86	Modernizacion de la infraestructura tecnologia limpia.
87	Aumento de la investigacion cientifica  capacidad tecnologica.
88	Apoyo a infraestructuras sostenibles y resilientes.
89	Desarrollo de la tecnologia investigacion e innovacion.
90	Aumento del acceso a TIC e Internet.
91	Crecimiento de Ingresos del 40% poblacion pobre.
92	Promocion de la Inclusion social economica y politica.
93	Garantizar la igualdad de oportunidades.
94	Adopcion de politicas fiscales salariales y de proteccion social.
95	Mejorar de la regulacion de los mercados financieros mundiales.
96	Participacion de paises en desarrollo en IFIs y OOII.
97	Facilitar la migracion y politicas migratorias ordenadas.
98	Aplicacion del principio del trato especial y diferenciado (OC).
99	Fomento de corrientes financieras para paises en desarrollo.
100	Reduccion de costes de Remesas.
101	Asegurar el acceso a la vivienda.
102	Proporcionar el acceso a transporte publico.
103	Aumento de la urbanizacion inclusiva y sostenible.
104	Proteccion del patrimonio cultural y natural.
105	Reduccion del numero de muertes por desastres y reduccion de vulnerabilidad.
106	Reduccion del impacto ambiental en ciudades.
107	Proporcionar el acceso a zonas verdes y espacios publicos seguros.
108	Apoyo a vinculos zonas urbanas periurbanas y rurales.
109	Aumento de la reduccion de riesgos de desastres en ciudades.
110	Apoyo a la construccion de edificios sostenibles y resilientes en PAs.
111	Aplicacion marco de consumo y produccion sostenibles .
112	Lograr el uso eficiente de recursos naturales.
113	Reduccion del desperdicio de alimentos.
114	Gestion de deshechos y productos quimicos.
115	Prevencion reduccion reciclado y reutilizacion de desechos.
116	Adopcion de practicas sostenibles en empresas.
117	Adquisiciones publicas sostenibles.
118	Asegurar la educacion para el Desarrollo Sostenible.
119	Fortalecimiento de ciencia y tecnologia para sostenibilidad.
120	Lograr turismo sostenible.
121	Regulacion de subsidios a combustibles fosiles.
122	Fortalecimiento de la resiliencia y adaptacion.
123	Incorporacion del cambio climatico en politicas estrategias y planes nacionales.
124	Mejora de la Educacion y sensibilizacion medioambiental.
125	Movilizacion de recursos economicos.
126	Gestion cambio climatico en los paises menos avanzados.
127	Prevencion y reduccion de la contaminacion marina.
128	Gestion ecosistemas marinos y costeros.
129	inimizacion de la acidificacion de oceanos.
130	Regulacion de la explotacion pesquera sostenible.
131	Conservacion zonas costeras y marinas.
132	Combatir la pesca ilegal y excesiva.
133	Aumento de los beneficios economicos de la pesca sostenible.
134	Apoyo a la investigacion y tecnologia marina.
135	Fomento de la pesca a pequena escala y artesanal.
136	Aplicacion Convencion de NNUU sobre el Derecho del Mar.
137	Asegurar la Conservacion y uso sostenibles de los ecosistemas.
138	Gestion sostenibles de bosques.
139	Lucha contra la desertificacion.
140	Asegurar la conservacion ecosistemas montanosos.
141	Medidas contra la degradacion y perdida de biodiversidad.
142	Acceso y uso adecuado de los recursos geneticos.
143	Combatir la caza furtiva y especies protegidas.
144	Prevencion de especies invasoras.
145	Integracion de planes sensibles a medioambiente.
146	Movilizacion y aumento de los recursos financieros.
147	Aumento de recursos para gestion forestal.
148	Apoyar la lucha contra caza furtiva .
149	Reduccion de todas las formas de violencia.
150	Erradicacion del maltrato trata y explotacion infantil.
151	Promocion del Estado de Derecho acceso a justicia.
152	Reduccion de las Corrientes financieras y de armas ilicitas.
153	Reduccion de la corrupcion y soborno.
154	Creacion de instituciones eficaces y transparentes.
155	Fomento de la participacion ciudadana.
156	Fortalecimiento de la participacion paises en desarrollo en OOII.
157	Proporcion de identidad juridica y registro de nacimientos.
158	Acceso a informacion y libertades fundamentales.
159	Fortalecimiento instituciones en prevencion de la violencia.
160	Promocion y aplicacion de leyes y politicas (DDHH)
161	Movilizacion de recursos domesticos para recaudacion fiscal.
162	Cumplimiento del 07% AOD.
163	Movilizacion de recursos financieros adicionales.
164	Reestructuracion de la Deuda.
165	Promocion de inversiones en paises menos adelantados.
166	Mejora del traspaso de tecnologia.
167	Promocion de tecnologias ecologicamente racionales.
168	Creacion de banco de tecnologia.
169	Refuerzo de capacidades de implementacion ODS.
170	Promocion de comercio multilateral universal.
171	Aumento de las exportaciones de paises en desarrollo.
172	Acceso a mercado para paises en desarrollo.
173	Aumento de la estabilidad macroeconomica mundial.
174	Mejora de la coherencia de politicas.
175	Respeto a la Soberania nacional.
176	Mejorar la Alianza Mundial para el desarrollo sostenible.
177	Fomento de alianzas publico-privadas.
178	Creacion de capacidad estadistica.
179	Promocion de indicadores que vayan mas alla del PIB.
